id,name,address1,address2,city,zip,hours,type
96,Snug Harbor Cultural Center & Botanical Garden,1000 Richmond Terrace,,Staten Island,10301,,cultural
97,Bronx - Bronx Library Center,310 East Kingsbridge Road,(at Kingsbridge and Briggs),Bronx,10458,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<b>Sun: 12:00pm - 6:00pm,permanent
98,Bronx - Department of Finance,"3030 Third Avenue, 2nd Floor",(at E156th St and Third Ave),Bronx,10455,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
99,Bronx - Lincoln Hospital,"234 East 149th Street, 1st Floor",(entrance on Morris Avenue),Bronx,10451,Mon-Fri: 8:00am - 4:00pm,permanent
100,Brooklyn - Central Library at Grand Army Plaza,10 Grand Army Plaza,(at Eastern Parkway and Flatbush Ave),Brooklyn,11238,Mon - Fri: 9:00am - 6:00pm<br>Sat: 10am - 2:00pm<br>Sun: 1:00pm - 5:00pm,permanent
101,Brooklyn - Coney Island IDNYC Center,"2865 West 8th Street, 1st Floor",,Brooklyn,11224,"Mon, Tue, Wed, Thu, Fri: 9:00am - 5:00pm",permanent
102,Brooklyn - Department of Finance,"210 Joralemon Street, 1st Floor",(at Joralemon St and Court St),Brooklyn,11201,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
103,Brooklyn - Asian Americans for Equality,"807 48th Street, 2nd Floor",,Brooklyn,11220,Tue-Sat: 9:00am - 5:00pm,permanent
104,Manhattan - Department of Finance,66 John St 2nd Floor,(at John St and William St),New York,10038,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
105,Manhattan - Grand Central Library,"135 E. 46th Street, 2nd Floor",,New York,10017,"Mon-Thu: 10:00am - 7:00pm<br>Fri: 10:00am - 6:00pm<br>Sat, Sun: 10:00am - 2:00pm",permanent
106,Manhattan - Neighborhood Trust Federal Credit Union,1112 St. Nicholas Ave,(at W 166th St and St. Nicholas Ave),New York,10032,"Mon, Tue, Fri: 9:00am - 4:00pm<br>Wed: 9:00am - 1:00pm<br>Thu: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm",permanent
107,Manhattan - East Harlem Health Center,"158 East 115th Street, Room 220",,New York,10029,Mon - Fri: 9:00am - 5:00pm,permanent
108,Manhattan - IDNYC Centre Street Office,"100 Centre Street, 14th Floor",,New York,10013,"Mon, Wed, Thu, Fri: 9:00am - 5:00pm<br>Tue: 10:00am - 6:00pm",permanent
109,Manhattan - Metropolitan Hospital,1901 First Ave,,New York,10029,Mondays - Fridays: 9:00am - 5:00pm ,permanent
110,Manhattan- CBIC,109 East 16th St. 1 FL,,New York,10003,Monday - Friday: 9:00am-5:00pm<br>,Permanent 
111,Queens - Central Library in Jamaica,89-11 Merrick Blvd,(at 89th Ave and Merrick Blvd),Jamaica,11432,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<br>Sun: 12:00pm - 5:00pm,Permanent
112,Queens - DOHMH Corona IDNYC Center,"34-33 Junction Blvd., Lower Level",(at 34th Road and Junction Blvd),Jackson Heights,11372,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
113,Queens - Flushing Library,41-17 Main St,(at 41st Rd and Main St),Flushing,11355,Mon-Fri: 9:00am - 6:00pm<br>Sat: 10:00am - 2:00pm<br>Sun: 12:00pm - 5:00pm,permanent
114,Queens -  Long Island City Community Library  ,"37-44 21st Street, 2nd Floor",,Long Island City,11101,"Mon: 9:00am - 8:00pm<br>Tues: 1:00pm - 6:00pm<br>Wed, Fri: 10:00am – 6:00pm<br>Thurs: 12:00pm - 8:00pm",permanent
115,Staten Island - Department of Finance,"350 St. Marks Place, 1st Floor",(at St Marks Pl and Hyatt St),Staten Island,10301,"Mon, Tue, Wed, Thu, Fri: 8:30am - 4:30pm",permanent
